,0,1,2,3,4,5,6,7,8,9
0,government,buddy,air,ooh,uh,aint,gun,buy,white,groaning
1,fight,wow,safe,whoa,grunts,poor,brother,women,women,breathing
2,human,team,jim,ah,radio,sister,goddamn,parents,ii,chuckles
3,war,cool,ship,christmas,crowd,darling,motherfucker,york,sort,continues
4,law,uh,war,cool,chatter,war,dude,bye,mmm,music
5,body,ball,jack,wow,cheering,brother,fucked,perfect,mm,groans
6,children,aint,officer,bye,speaking,child,em,dinner,wow,screams
7,power,ya,clear,daddy,indistinct,death,yo,book,alright,panting
8,court,ah,shot,charlie,continues,lady,jesus,party,mmhmm,mary
9,country,em,shoot,sam,laughs,children,bitch,honey,john,sighs
10,state,dog,fire,honey,playing,king,ass,movie,bob,michael
11,president,ha,police,jack,laughing,lord,fuckin,girls,hmm,grunting
12,death,game,john,um,sighs,dear,aint,sex,ah,grunts
13,police,whoa,captain,uh,chuckles,shall,fucking,married,um,gasps
14,dr,ok,gun,mom,music,mrs,fuck,mom,uh,screaming
